	ID	Area	Sub-Area	PaperTitle	Authors	AuthorNames
0	1858	Applications 	Human Computer Interface	Who Should Predict? Exact Algorithms For Learning to Defer to Humans	Hussein Mozannar (Massachusetts Institute of Technology)*; Hunter Lang (MIT); Dennis Wei (IBM Research); Prasanna Sattigeri (IBM Research); Subhro Das (MIT-IBM Watson AI Lab, IBM Research); David Sontag (MIT)	Mozannar, Hussein*; Lang, Hunter; Wei, Dennis; Sattigeri, Prasanna; Das, Subhro; Sontag, David
1	904	Applications 	Network Analysis	Implications of sparsity and high triangle density for graph representation learning	Hannah J Sansford (University of Bristol)*; Alexander Modell (University of Bristol ); Nick Whiteley (Bristol); Patrick Rubin-Delanchy (University of Bristol)	Sansford, Hannah J*; Modell, Alexander; Whiteley, Nick; Rubin-Delanchy, Patrick
2	1873	Applications 	Network Analysis	Fitting low-rank models on egocentrically sampled partial networks	Ga Ming Angus Chan (University of Virginia)*; Tianxi Li (University of Virginia)	Chan, Ga Ming Angus*; Li, Tianxi
3	1922	Deep Learning 	Graph Neural Networks	The Power of Recursion in Graph Neural Networks for Counting Substructures	Behrooz Tahmasebi (MIT)*; Derek Lim (MIT); Stefanie Jegelka (MIT)	Tahmasebi, Behrooz*; Lim, Derek; Jegelka, Stefanie
4	1524	Deep Learning 	Other Deep Learning	Rethinking Initialization of the Sinkhorn Algorithm	James Thornton (University of Oxford)*; marco Cuturi (ENSAE)	Thornton, James*; Cuturi, marco
5	2130	Deep Learning 	Supervised Deep Learning	Using Sliced Mutual Information to Study Memorization and Generalization in Deep Neural Networks	Shelvia Wongso (National University of Singapore)*; Rohan Ghosh (National University of Singapore); Mehul Motani (National University of Singapore)	Wongso, Shelvia*; Ghosh, Rohan; Motani, Mehul
6	469	General Machine Learning 	Compressed Sensing and Sparse Coding	Noisy Low-rank Matrix Optimization: Geometry of Local Minima and Convergence Rate	Ziye Ma (UC Berkeley)*; Somayeh Sojoudi (UC Berkeley)	Ma, Ziye*; Sojoudi, Somayeh
7	961	General Machine Learning 	Continual Learning	Federated Learning under Distributed Concept Drift	Ellango Jothimurugesan (CMU)*; Kevin Hsieh (Microsoft Research); Jianyu Wang (Meta); Gauri Joshi (Carnegie Mellon University); Phillip B Gibbons (CMU)	Jothimurugesan, Ellango*; Hsieh, Kevin; Wang, Jianyu; Joshi, Gauri; Gibbons, Phillip B
8	349	General Machine Learning 	Kernel Methods	Error Estimation for Random Fourier Features 	Junwen Yao (UC Davis); Benjamin Erichson (University of Pittsburgh); Miles E Lopes (University of California, Davis)*	Yao, Junwen; Erichson, Benjamin; Lopes, Miles E*
9	1872	General Machine Learning 	Learning on Graphs	Implicit Graphon Neural Representation	Xinyue Xia (UCSD)*; Gal Mishne (UC San Diego); Yusu  Wang (University of California, San Diego)	Xia, Xinyue*; Mishne, Gal; Wang, Yusu 
10	734	General Machine Learning 	Reinforcement Learning	A Tale of Sampling and Estimation in Discounted Reinforcement Learning	Alberto Maria Metelli (Politecnico di Milano)*; Mirco Mutti (Politecnico di Milano, Università di Bologna); Marcello Restelli (Politecnico di Milano)	Metelli, Alberto Maria*; Mutti, Mirco; Restelli, Marcello
11	1461	General Machine Learning 	Semi-Supervised Learning	Fix-A-Step: Semi-supervised Learning From Uncurated Unlabeled Data	Zhe Huang (Tufts University)*; Mary-Joy Sidhom (Tufts University); Benjamin Wessler (Tufts Medical Center); Michael C Hughes (Tufts University)	Huang, Zhe*; Sidhom, Mary-Joy; Wessler, Benjamin; Hughes, Michael C
12	211	Learning Theory and Statistics 	Causality	BaCaDI: Bayesian Causal Discovery with Unknown Interventions	Alexander Hägele (ETH Zürich)*; Jonas Rothfuss (ETH); Lars Lorch (ETH Zurich); Vignesh Ram Somnath (Swiss Federal Institute of Technology Zurich); Bernhard Schölkopf (MPI for Intelligent Systems, Tübingen); Andreas Krause (ETH Zürich)	Hägele, Alexander*; Rothfuss, Jonas; Lorch, Lars; Somnath, Vignesh Ram; Schölkopf, Bernhard; Krause, Andreas
13	1449	Learning Theory and Statistics 	Information Theory	Mode-Seeking Divergences: Theory and Applications to GANs	Cheuk Ting Li (The Chinese University of Hong Kong); Farzan Farnia (The Chinese University of Hong Kong)*	Li, Cheuk Ting; Farnia, Farzan*
14	957	Learning Theory and Statistics 	Other Theory / Statistics	The Schrödinger Bridge between Gaussian Measures has a Closed Form	Charlotte Bunne (ETH Zurich); Ya-Ping Hsieh (ETH)*; marco Cuturi (ENSAE); Andreas Krause (ETH Zürich)	Bunne, Charlotte; Hsieh, Ya-Ping*; Cuturi, marco; Krause, Andreas
15	1701	Learning Theory and Statistics 	Robust Statistics	Huber-robust confidence sequences	Hongjian Wang (Carnegie Mellon University)*; Aaditya Ramdas (Carnegie Mellon University)	Wang, Hongjian*; Ramdas, Aaditya
16	44	Learning Theory and Statistics 	Statistical Learning Theory	Blessing of Class Diversity in Pre-training	Yulai Zhao (Princeton University)*; Jianshu Chen (Tencent); Simon Du (University of Washington)	Zhao, Yulai*; Chen, Jianshu; Du, Simon
17	1738	Learning Theory and Statistics 	Statistical Learning Theory	Hedging against Complexity: Distributionally Robust Optimization with Parametric Approximation	Garud Iyengar (Columbia University); Henry Lam (Columbia University); Tianyu Wang (Columbia University)*	Iyengar, Garud; Lam, Henry; Wang, Tianyu*
18	1682	Optimization 	Combinatorial Optimization	Scalable Bicriteria Algorithms for Non-Monotone Submodular Cover	Victoria Crawford (Texas A&M University)*	Crawford, Victoria*
19	861	Probabilistic Methods 	Approximate Inference (Variational Inference, MCMC, ...)	Scalable particle-based alternatives to EM	Juan Kuntz Nussio (The University of Warwick)*; Jen Ning Lim (University of Warwick (Coventry)); Adam  M. Johansen (Warwick)	Kuntz Nussio, Juan*; Lim, Jen Ning; Johansen, Adam  M.
20	1314	Probabilistic Methods 	Bayesian Methods	Do Bayesian Neural Networks Need to be Fully Stochastic?	Mrinank Sharma (University of Oxford)*; Sebastian Farquhar (DeepMind); Eric Nalisnick (University of Amsterdam); Tom Rainforth (University of Oxford)	Sharma, Mrinank*; Farquhar, Sebastian; Nalisnick, Eric; Rainforth, Tom
21	346	Probabilistic Methods 	Bayesian Methods	Distance-to-Set Priors and Constrained Bayesian Inference	Rick Presman (Duke University); Jason Q Xu (Duke University)*	Presman, Rick; Xu, Jason Q*
22	772	Probabilistic Methods 	Density Estimation	An Efficient and Continuous Voronoi Density Estimator	Giovanni Luca Marchetti (KTH Royal Institute of Technology)*; Vladislav Polianskii (KTH Royal Institute of Technology); Anastasiia Varava (KTH); Florian T. Pokorny (KTH Royal Institute of Technology); Danica Kragic (KTH Royal Institute of Technology)	Marchetti, Giovanni Luca*; Polianskii, Vladislav; Varava, Anastasiia; Pokorny, Florian T.; Kragic, Danica
23	267	Probabilistic Methods 	Gaussian Processes	Multilevel Bayesian Quadrature	Kaiyu Li (University College London)*; Daniel Giles (University College London); Toni Karvonen (University of Helsinki); Serge Guillas (University College London); Francois-Xavier Briol (Alan Turing Institute)	Li, Kaiyu*; Giles, Daniel; Karvonen, Toni; Guillas, Serge; Briol, Francois-Xavier
24	868	Probabilistic Methods 	Gaussian Processes	Inducing Point Allocation for Sparse Gaussian Processes in High-Throughput Bayesian Optimisation	Henry B Moss (Secondmind)*; Sebastian W Ober (University of Cambridge); Victor Picheny (Prowler)	Moss, Henry B*; Ober, Sebastian W; Picheny, Victor
25	250	Probabilistic Methods 	Gaussian Processes	Discovering Many Diverse Solutions with Bayesian Optimization	Natalie Maus (University of Pennsylvania )*; Kaiwen Wu (University of Pennsylvania); David Eriksson (Meta); Jacob Gardner (University of Pennsylvania)	Maus, Natalie*; Wu, Kaiwen; Eriksson, David; Gardner, Jacob
26	1207	Probabilistic Methods 	Generative and Latent Variable Models	Indeterminacy in Generative Models: Characterization and Strong Identifiability	Quanhan Xi (University of British Columbia)*; Benjamin Bloem-Reddy (University of British Columbia)	Xi, Quanhan*; Bloem-Reddy, Benjamin
27	816	Probabilistic Methods 	Stochastic Processes	Robust Sequential Testing and Effect Estimation in Stratified Count Data	Rosanne Turner (CWI)*; Peter Grunwald (CWI)	Turner, Rosanne*; Grunwald, Peter
28	1082	Trustworthy ML and Statistics 	Accountability, Transparency, and Interpretability	Data Banzhaf: A Robust Data Valuation Framework for Machine Learning	Tianhao Wang (Princeton University)*; Ruoxi Jia (Virginia Tech)	Wang, Tianhao*; Jia, Ruoxi
29	1577	Trustworthy ML and Statistics 	Accountability, Transparency, and Interpretability	Combating label-leaking explanations	Neil Jethani (New York University); Adriel Saporta (New York University)*; Rajesh Ranganath (New York University)	Jethani, Neil; Saporta, Adriel*; Ranganath, Rajesh
30	594	Trustworthy ML and Statistics 	Privacy	Generalized PTR: User-Friendly Recipes for Data-Adaptive Algorithms with Differential Privacy	Rachel Redberg (UC Santa Barbara)*; Yuqing Zhu (UC Santa Barbara); Yu-Xiang Wang (UC Santa Barbara)	Redberg, Rachel*; Zhu, Yuqing; Wang, Yu-Xiang
31	1627	Trustworthy ML and Statistics 	Robust and Reliable ML	Origins of Low-Dimensional Adversarial Perturbations	Elvis Dohmatob (Meta)*; Chuan Guo (Facebook AI Research); Morgane Goibert (Criteo AI Lab)	Dohmatob, Elvis*; Guo, Chuan; Goibert, Morgane
